mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,55,19.2817052417,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 19:30:00
2,1,56,2.4771485174,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 19:45:00
2,1,57,0.7014833957,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 20:00:00
2,1,58,16.0065042874,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 20:15:00
2,1,60,6.5236306321,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 20:45:00
2,1,61,0.66234719,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 21:00:00
2,1,62,15.1987238305,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 21:15:00
2,1,64,0.0117533218,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 21:45:00
2,1,65,6.0606041001,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 22:00:00
2,1,67,5.8883831481,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 22:30:00
2,1,68,9.8426916671,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 22:45:00
2,1,69,3.1662557927,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 23:00:00
2,1,72,2.375997497,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-21 23:45:00
2,1,73,3.1960604776,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-22 00:00:00
2,1,74,1.9266396621,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-22 00:15:00
2,1,76,0.0374401133,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090,2025-07-22 00:45:00
2,1,2,9.0535777714,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 06:15:00
2,1,3,9.4107830757,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 06:30:00
2,1,4,0.2764246921,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 06:45:00
2,1,5,10.1565755992,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 07:00:00
2,1,6,2.0424264864,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 07:15:00
2,1,7,7.0345654213,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 07:30:00
2,1,8,7.6356010387,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 07:45:00
2,1,9,21.5657397768,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 08:00:00
2,1,10,0.6469591152,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 08:15:00
