description,demographic,granular_audience,target_month,impacts_quarter_hour,figures.impacts,figures.impacts_pedestrian,figures.impacts_vehicular,figures.rag_status,metrics.total_frames,metrics.total_dynamic_frames,metrics.total_contacts,metrics.total_actual_contacts,metrics.total_respondents,metrics.total_actual_respondents,campaign_name,frame
total,Adults 15-34 (16),All Adults (1),3,"[{'mode_of_transport': 2, 'day': 1, 'time': 3, 'impacts': '1.8399933289', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 5, 'impacts': '4.7013781044', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 6, 'impacts': '3.8063379928', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 7, 'impacts': '7.2089254783', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 8, 'impacts': '15.7451290575', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 9, 'impacts': '48.8537860951', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 10, 'impacts': '43.3056277434', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 11, 'impacts': '3.1189620496', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 12, 'impacts': '2.0308721475', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 13, 'impacts': '49.3796143084', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 14, 'impacts': '20.6672127753', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 15, 'impacts': '0.0515409173', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 16, 'impacts': '17.8360423818', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 17, 'impacts': '0.2743319305', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 20, 'impacts': '0.0003863206', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 23, 'impacts': '5.6886513023', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 24, 'impacts': '0.5777372768', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 25, 'impacts': '0.1504701272', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 26, 'impacts': '0.0000087712', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 27, 'impacts': '0.1752369806', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 28, 'impacts': '0.005756294', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 29, 'impacts': '2.0930311004', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 30, 'impacts': '0.0397055526', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 31, 'impacts': '2.7646544349', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 32, 'impacts': '12.0989678527', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 33, 'impacts': '0.8130053318', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 34, 'impacts': '9.7010339946', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 35, 'impacts': '22.3857857862', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 36, 'impacts': '0.3152135327', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 37, 'impacts': '15.6578704843', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 38, 'impacts': '0.0039347893', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 41, 'impacts': '2.458270162', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 42, 'impacts': '8.7904866785', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 43, 'impacts': '1.3170395567', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 44, 'impacts': '3.1855089635', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 45, 'impacts': '11.9731823227', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 46, 'impacts': '10.6109597722', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 47, 'impacts': '0.0066824416', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 48, 'impacts': '16.2898590365', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 49, 'impacts': '51.8559226107', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 50, 'impacts': '53.8477516521', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 51, 'impacts': '8.527235649', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 52, 'impacts': '26.0267998912', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 53, 'impacts': '25.2102640007', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 54, 'impacts': '20.1352227226', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 55, 'impacts': '19.2817052417', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 56, 'impacts': '2.4771485174', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 57, 'impacts': '0.7014833957', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 58, 'impacts': '16.0065042874', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 60, 'impacts': '6.5236306321', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 61, 'impacts': '0.66234719', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 62, 'impacts': '15.1987238305', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 64, 'impacts': '0.0117533218', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 65, 'impacts': '6.0606041001', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 67, 'impacts': '5.8883831481', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 68, 'impacts': '9.8426916671', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 69, 'impacts': '3.1662557927', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 72, 'impacts': '2.375997497', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 73, 'impacts': '3.1960604776', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 74, 'impacts': '1.9266396621', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 76, 'impacts': '0.0374401133', 'illumination_effect': '1'}]",0.6248837586,0.6248837586,0,green,1,1,231,85,139,26,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234571090
total,Adults 15-34 (16),All Adults (1),3,"[{'mode_of_transport': 2, 'day': 1, 'time': 2, 'impacts': '9.0535777714', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 3, 'impacts': '9.4107830757', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 4, 'impacts': '0.2764246921', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 5, 'impacts': '10.1565755992', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 6, 'impacts': '2.0424264864', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 7, 'impacts': '7.0345654213', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 8, 'impacts': '7.6356010387', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 9, 'impacts': '21.5657397768', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 10, 'impacts': '0.6469591152', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 11, 'impacts': '15.2847639067', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 12, 'impacts': '0.0000016068', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 13, 'impacts': '0.0413216823', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 14, 'impacts': '0.0045306054', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 15, 'impacts': '19.9069244002', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 16, 'impacts': '22.0314500628', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 17, 'impacts': '18.1378798159', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 18, 'impacts': '0.4142746129', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 20, 'impacts': '0.3228407005', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 21, 'impacts': '0.3371528872', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 22, 'impacts': '1.6024441752', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 23, 'impacts': '2.8217918149', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 24, 'impacts': '0.8372584278', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 25, 'impacts': '0.0018613258', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 26, 'impacts': '15.5844030912', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 27, 'impacts': '15.138006116', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 28, 'impacts': '11.5588084075', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 29, 'impacts': '6.5898510624', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 30, 'impacts': '8.0718480258', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 31, 'impacts': '0.2081380702', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 32, 'impacts': '0.0319590215', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 34, 'impacts': '0.7069158417', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 35, 'impacts': '16.6903904053', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 36, 'impacts': '0.0027756238', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 37, 'impacts': '17.741919737', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 38, 'impacts': '0.0140158152', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 39, 'impacts': '6.3823441424', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 40, 'impacts': '2.9139750053', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 41, 'impacts': '28.5737802741', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 42, 'impacts': '0.6774238465', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 43, 'impacts': '0.054640377', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 44, 'impacts': '8.9639427172', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 45, 'impacts': '11.3583974491', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 46, 'impacts': '5.1343790016', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 47, 'impacts': '1.061923117', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 48, 'impacts': '3.4786831332', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 49, 'impacts': '1.1124398225', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 50, 'impacts': '18.4299266593', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 51, 'impacts': '6.1081615822', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 52, 'impacts': '27.242302087', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 53, 'impacts': '23.3317866298', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 54, 'impacts': '1.3938288927', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 55, 'impacts': '6.4530560167', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 56, 'impacts': '10.5674110435', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 57, 'impacts': '0.0343976953', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 58, 'impacts': '0.1512448287', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 59, 'impacts': '3.7682163175', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 60, 'impacts': '12.8940328683', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 62, 'impacts': '0.0082632855', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 64, 'impacts': '0.7280262014', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 65, 'impacts': '7.8326414901', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 66, 'impacts': '0.1515907755', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 67, 'impacts': '8.2230449836', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 68, 'impacts': '2.1302113331', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 69, 'impacts': '0.9821801317', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 70, 'impacts': '5.9731334466', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 71, 'impacts': '1.6364240456', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 75, 'impacts': '1.1663421794', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 76, 'impacts': '0.5711645704', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 77, 'impacts': '0.1181899156', 'illumination_effect': '1'}]",0.4515136861,0.4515136861,0,green,1,1,263,85,171,31,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174
total,Adults 15-34 (16),All Adults (1),3,"[{'mode_of_transport': 2, 'day': 1, 'time': 2, 'impacts': '16.9778552992', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 3, 'impacts': '13.601633637', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 4, 'impacts': '0.0000034201', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 5, 'impacts': '15.7854374365', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 6, 'impacts': '5.9904063966', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 7, 'impacts': '4.8181710177', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 8, 'impacts': '5.2393302191', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 9, 'impacts': '7.2955156509', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 10, 'impacts': '3.9731524098', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 11, 'impacts': '8.9159478635', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 12, 'impacts': '0.0079547713', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 13, 'impacts': '0.0000514475', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 14, 'impacts': '31.8786031167', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 16, 'impacts': '28.8889302233', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 17, 'impacts': '23.5004705979', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 18, 'impacts': '0.0475766326', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 19, 'impacts': '0.0236827811', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 20, 'impacts': '0.4208467458', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 21, 'impacts': '0.0003385091', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 22, 'impacts': '6.1451444924', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 23, 'impacts': '1.1763349691', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 24, 'impacts': '9.2366768881', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 26, 'impacts': '0.0009923826', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 27, 'impacts': '14.678656075', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 28, 'impacts': '23.9709303386', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 29, 'impacts': '9.9837119699', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 32, 'impacts': '28.5045310436', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 36, 'impacts': '2.2733272768', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 37, 'impacts': '6.8907354601', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 39, 'impacts': '15.0846012469', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 40, 'impacts': '4.5467948176', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 41, 'impacts': '9.2477221484', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 42, 'impacts': '8.0225890583', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 43, 'impacts': '25.1839754335', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 44, 'impacts': '19.9706217777', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 45, 'impacts': '28.7801363956', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 46, 'impacts': '2.3569804601', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 47, 'impacts': '0.3656239441', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 48, 'impacts': '9.370785194', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 49, 'impacts': '17.6363271426', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 50, 'impacts': '19.1791015358', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 51, 'impacts': '12.5208625357', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 52, 'impacts': '46.3876260624', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 53, 'impacts': '32.3393192627', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 54, 'impacts': '10.8329693899', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 55, 'impacts': '32.4280293563', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 56, 'impacts': '5.5966802831', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 57, 'impacts': '0.1468820203', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 58, 'impacts': '0.4055919827', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 59, 'impacts': '18.2942300386', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 60, 'impacts': '20.0821192468', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 63, 'impacts': '13.3213698874', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 64, 'impacts': '1.3015582064', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 65, 'impacts': '1.0250181863', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 66, 'impacts': '8.0977441283', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 67, 'impacts': '12.0269479119', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 71, 'impacts': '0.7761989328', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 72, 'impacts': '5.8371367692', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 73, 'impacts': '4.2778273598', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 77, 'impacts': '0.1715172514', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 78, 'impacts': '0.0123349558', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 84, 'impacts': '0.0367740599', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 89, 'impacts': '0.0616056425', 'illumination_effect': '1'}, {'mode_of_transport': 2, 'day': 1, 'time': 96, 'impacts': '5.8104644806', 'illumination_effect': '1'}]",0.6617630162,0.6617630162,0,amber,1,1,171,67,118,28,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187
